"","StartHub","trip_count"
"1","BLD-PNW Pop Up",0.0778985507246377
"2","Blues Fest - SW Waterfront at Clay",0.557065217391304
"3","Metro Campus - Community Corral",0.207880434782609
"4","N Burrage at Killingsworth Community Corral",0.0439311594202899
"5","N Concord at Killingsworth - Community Corral",0.0394021739130435
"6","N Failing at Williams",0.363677536231884
"7","N Interstate at Willamette - Community Corral",0.0733695652173913
"8","N Killingsworth at Albina",0.303894927536232
"9","N Killingsworth at Gay - Community Corral",0.0480072463768116
"10","N Mason at Williams",0.412590579710145
"11","N Michigan at Killingsworth - Community Corral",0.078804347826087
"12","N Mississippi at Beech",0.486413043478261
"13","N Mississippi at N Skidmore",0.465126811594203
"14","N Morris at Williams",0.266304347826087
"15","N Prescott at Interstate",0.225996376811594
"16","N Russell at Interstate Community Corral",0.100996376811594
"17","N Vancouver at Alberta",0.328804347826087
"18","N Wheeler at Broadway - Community Corral",0.067481884057971
"19","N Williams at Fremont",0.686594202898551
"20","NE 10th at Halsey -- Community Corral",0.152626811594203
"21","NE 11th at Holladay Park",0.578804347826087
"22","NE 14th Pl at Prescott - Community Corral",0.0529891304347826
"23","NE 15th at Broadway",0.578804347826087
"24","NE 17th at Killingsworth - Community Corral",0.13179347826087
"25","NE 22nd at Burnside",0.445652173913043
"26","NE 22nd at Thompson - Community Corral (Irvington Tennis Club)",0.100996376811594
"27","NE 28th at Couch - Community Corral",0.280797101449275
"28","NE 28th at Glisan- Community Corral",0.108242753623188
"29","NE 2nd at NE Schuyler",0.351449275362319
"30","NE 30th at Glisan - Community Corral",0.0294384057971014
"31","NE 33rd at Emerson - Community Corral",0.0421195652173913
"32","NE 33rd at Jarrett (Kennedy School) - Community Corral",0.072463768115942
"33","NE 41st at Sandy Blvd (Hollywood Theatre) Community Corral",0.148550724637681
"34","NE 42nd at Hancock",0.03125
"35","NE 42nd at Hancock  - Community Corral",0.0285326086956522
"36","NE 42nd at NE Alberta Court",0.0244565217391304
"37","NE 43rd at Hancock - Community Corral",0.0471014492753623
"38","NE 43rd at Sandy",0.0253623188405797
"39","NE 48th at Fremont - Community Corral",0.0620471014492754
"40","NE 50th at Fremont - Community Corral",0.0543478260869565
"41","NE 50th at Sandy",0.0357789855072464
"42","NE 60th at Cully",0.0208333333333333
"43","NE Alberta at 10th - Community Corral",0.144021739130435
"44","NE Alberta at 14th - Community Corral",0.165307971014493
"45","NE Alberta at 17th - Community Corral",0.155797101449275
"46","NE Alberta at 22nd - Community Corral",0.251358695652174
"47","NE Alberta at 24th - Community Corral",0.0747282608695652
"48","NE Alberta at NE 29th/30th - Community Corral",0.0982789855072464
"49","NE Broadway at 12th",0.355978260869565
"50","NE Couch at MLK",0.85054347826087
"51","NE Cully at Killingsworth - Community Corral",0.0122282608695652
"52","NE Cully at Skidmore - Community Corral",0.0113224637681159
"53","NE Fremont at 15th - Community Corral",0.164402173913043
"54","NE Glisan at 24th",0.364130434782609
"55","NE Glisan at 53rd",0.0511775362318841
"56","NE Going at Grand",0.419836956521739
"57","NE Holladay at MLK",0.304347826086957
"58","NE Holladay at MLK - Community Corral",0.105072463768116
"59","NE Killingsworth at 30th - Community Corral",0.0434782608695652
"60","NE MLK at Knott",0.579710144927536
"61","NE Multnomah at 9th",0.61911231884058
"62","NE Multnomah at Grand",0.38088768115942
"63","NE Ramsay at Center Court - People's Market",0.0466485507246377
"64","NE Sandy at 16th",0.46195652173913
"65","NE Wheeler at Multnomah",0.412590579710145
"66","No Nearby Hub",4.00407608695652
"67","NW 10th at Everett",0.898097826086957
"68","NW 11th at The Fields",0.948369565217391
"69","NW 13th at Marshall",2.00634057971015
"70","NW 18th at Flanders",0.778532608695652
"71","NW 18th at Northrup",1.02309782608696
"72","NW 19th at Johnson",0.824275362318841
"73","NW 20th at Burnside",0.795742753623188
"74","NW 21st at Johnson",0.520380434782609
"75","NW 22nd at Lovejoy",0.583333333333333
"76","NW 23rd at Overton",0.691576086956522
"77","NW 2nd at Everett",1.31748188405797
"78","NW 4th at Couch",0.280344202898551
"79","NW Broadway at Everett",1.35914855072464
"80","NW Couch at 11th",1.4633152173913
"81","NW Couch at 2nd",0.696105072463768
"82","NW Everett at 22nd",1.56159420289855
"83","NW Flanders at 14th",1.42255434782609
"84","NW Front at 17th",1.24094202898551
"85","NW Glisan at 21st",0.835144927536232
"86","NW Johnson at Jamison Square",0.951086956521739
"87","NW Kearney at 23rd",0.849184782608696
"88","NW Marshall at Tanner Springs Park",1.00679347826087
"89","NW Naito at Ironside",0.970561594202899
"90","NW Nicolai at Sherlock Community Corral",0.0335144927536232
"91","NW Pettygrove at 15th",0.641304347826087
"92","NW Raleigh at 21st",1.22690217391304
"93","NW Station at Irving",0.828804347826087
"94","NW Thurman at 24th",0.767663043478261
"95","Oregon Brewers Fest 2018 (at HUB Bike Parking Area)",0.0855978260869565
"96","PDX POP NOW SE 3rd at Madison",0.427989130434783
"97","PRIDE - Pine - disabled.",0.0955615942028985
"98","PRIDE - SW Pine Street",0.0208333333333333
"99","Rose Festival - Pine Entrance",0.144474637681159
"100","Rose Festival - Yamhill Entrance",0.0991847826086956
"101","SE 14th at Stark",0.61231884057971
"102","SE 28th at Pine - Community Corral",0.184782608695652
"103","SE 29th and Gladstone - Community Corral",0.0942028985507246
"104","SE 29th at Belmont",0.230978260869565
"105","SE 29th at Hawthorne",0.467844202898551
"106","SE 29th at Stark",0.203804347826087
"107","SE 2nd Pl at Tilikum Way",0.913949275362319
"108","SE 30th at Division",0.495018115942029
"109","SE 34th at Division",0.498188405797101
"110","SE 34th at Hawthorne",0.802536231884058
"111","SE 37th at Division - Community Corral",0.113677536231884
"112","SE 37th at Gladstone - Community Corral",0.0480072463768116
"113","SE 40th at Hawthorne",0.382246376811594
"114","SE 47th at Hawthorne- Community Corral",0.102355072463768
"115","SE 49th at Division - Community Corral",0.129981884057971
"116","SE 50th at Division - Community Corral",0.0833333333333333
"117","SE 50th at Hawthorne- Community Corral",0.119565217391304
"118","SE 7th at Burnside",0.46286231884058
"119","SE 9th at Belmont",0.798007246376812
"120","SE 9th at Burnside",0.501811594202899
"121","SE 9th at Madison",0.272192028985507
"122","SE Alder at 6th",0.731884057971015
"123","SE Belmont at 20th",0.36231884057971
"124","SE Belmont at 33rd",0.374094202898551
"125","SE Belmont at 42nd",0.202445652173913
"126","SE Belmont at 45th - Community Corral",0.0534420289855072
"127","SE Clay at Water",1.03759057971015
"128","SE Clinton at 21st",0.57518115942029
"129","SE Clinton at 26th",0.416666666666667
"130","SE Elliott at Division",0.752717391304348
"131","SE Gideon at 12th Ave MAX station",0.404891304347826
"132","SE Hawthorne at 20th",0.472826086956522
"133","SE Ladd at Hawthorne",0.956521739130435
"134","SE Powell Blvd at 28th",0.0489130434782609
"135","SE Powell Blvd at 29th Ave - Community Corral",0.0357789855072464
"136","SE Taylor at Chavez Community Corral",0.0765398550724638
"137","SE Water at Taylor",0.77445652173913
"138","SW 10th at Columbia",0.716938405797101
"139","SW 10th at Harvey Milk",0.178442028985507
"140","SW 10th at Stark",0.847373188405797
"141","SW 11th at Main - Community Corral",0.128170289855072
"142","SW 12th at Clay",0.595108695652174
"143","SW 18th at Jefferson",0.671648550724638
"144","SW 2nd at Pine",0.850090579710145
"145","SW 3rd at Ankeny",1.01992753623188
"146","SW 3rd at Morrison",1.03713768115942
"147","SW 4th at College",0.862771739130435
"148","SW 4th at Jefferson (City Hall)",0.308876811594203
"149","SW 4th at Jefferson (City Hall) - Community Corral",0.294836956521739
"150","SW 5th at Main",0.654891304347826
"151","SW 5th at Morrison",0.976902173913043
"152","SW 5th at Oak",1.01811594202899
"153","SW Broadway at Smith Memorial Student Union",1.0973731884058
"154","SW Harrison at 1st",0.454710144927536
"155","SW Harvey Milk at Burnside",0.540760869565217
"156","SW Market at Keller Fountain Park",0.644474637681159
"157","SW Moody at Aerial Tram Terminal",1.68115942028985
"158","SW Moody at Thomas",0.736413043478261
"159","SW Morrison at 18th",1.22690217391304
"160","SW Morrison at Pioneer Courthouse Sq.",1.07835144927536
"161","SW Naito at Ankeny Plaza",1.5955615942029
"162","SW Naito at Morrison",1.20063405797101
"163","SW Park at Portland Art Museum",0.678442028985507
"164","SW Park at SW Wright (Oregon Holocaust Memorial) Community Corral",0.450634057971014
"165","SW Park at W Burnside - Community Corral",0.682518115942029
"166","SW River at Montgomery",1.42210144927536
"167","SW Salmon at Broadway (NABSA)  - Pop Up",0.218297101449275
"168","SW Salmon at Waterfront Park",1.89492753623188
"169","SW Stark at Burnside",0.665307971014493
"170","SW Taylor at 5th Ave (NABSA) - Pop Up",0.346467391304348
"171","SW Yamhill at Director Park",1.12545289855072
"172","Temporary OHSU Schnitzer Lot Station",0.0430253623188406
"173","Tilikum West at SW Moody",0.923007246376812
"174","Urban Center Plaza at SW 6th St",0.377264492753623
"175",NA,0.0244565217391304
